#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 278769:5197 | 08/13/16 06:38:56 | 30   | 30   | 7931021.811    | 7329342.049   |
| 278770:5197 | 08/13/16 06:54:00 | 767  | 767  | 174284011.377  | 166983665.575 |
| 278801:5198 | 08/13/16 14:43:37 | 38   | 38   | 10291605.700   | 7936171.996   |
| 278802:5198 | 08/13/16 15:01:05 | 17   | 17   | 4104929.748    | 1739234.399   |
| 278803:5198 | 08/13/16 15:10:53 | 318  | 318  | 78694983.664   | 72758583.374  |
| 278804:5198 | 08/13/16 17:20:06 | 4    | 4    | 929060.516     | 761576.075    |
| 278805:5198 | 08/13/16 17:23:57 | 274  | 274  | 60300797.089   | 56548354.872  |
| 278808:5198 | 08/13/16 19:25:19 | 1791 | 1791 | 287053660.745  | 276362157.432 |
| 278820:5199 | 08/14/16 11:00:51 | 1517 | 1517 | 304871913.576  | 292856292.247 |
| 278822:5199 | 08/14/16 21:52:47 | 1627 | 1627 | 202893371.492  | 196568458.711 |
| 278873:5205 | 08/15/16 23:25:45 | 60   | 60   | 11489135.288   | 2057810.080   |
| 278874:5205 | 08/15/16 23:51:53 | 477  | 477  | 88698477.103   | 83418821.901  |
| 278875:5205 | 08/16/16 03:01:20 | 833  | 833  | 123041125.279  | 117573405.467 |
| 278923:5206 | 08/16/16 12:16:32 | 413  | 413  | 104612696.772  | 100174651.594 |
| 278957:5209 | 08/16/16 21:31:36 | 149  | 149  | 38331477.196   | 36745006.896  |
| 278962:5210 | 08/17/16 01:08:31 | 341  | 341  | 83145317.653   | 77292586.964  |
| 278963:5210 | 08/17/16 03:24:57 | 174  | 174  | 39263946.655   | 37744889.670  |
| 278969:5211 | 08/17/16 07:16:52 | 1386 | 1386 | 300995697.061  | 287916777.115 |
| 278975:5211 | 08/17/16 16:23:16 | 848  | 848  | 129008787.290  | 123190805.228 |
| 278976:5211 | 08/17/16 21:58:16 | 20   | 20   | 2729202.800    | 2626694.529   |
| 278986:5213 | 08/18/16 04:02:59 | 129  | 129  | 34227834.603   | 32091948.113  |
| 279024:5219 | 08/18/16 22:31:53 | 301  | 301  | 53412544.142   | 50732430.732  |
| 279029:5219 | 08/19/16 02:19:40 | 260  | 260  | 41058320.747   | 39029374.258  |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 24127532.067   | 23197652.772  |
| 279080:5223 | 08/19/16 22:42:50 | 157  | 157  | 13641011.753   | 13167460.032  |
| 279115:5229 | 08/20/16 22:08:09 | 407  | 407  | 89285117.260   | 85923847.440  |
| 279116:5229 | 08/21/16 01:36:03 | 448  | 448  | 96330476.871   | 92434254.955  |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 6411361.710    | 6066351.595   |
| 279588:5251 | 08/25/16 21:08:11 | 1160 | 1160 | 241674828.634  | 233155958.501 |
| 279653:5253 | 08/26/16 14:05:52 | 181  | 181  | 45809617.360   | 44146564.379  |
| 279654:5253 | 08/26/16 15:21:58 | 1245 | 1245 | 253665553.405  | 245476825.131 |
| 279656:5253 | 08/26/16 23:49:40 | 43   | 43   | 6899713.825    | 5825277.416   |
| 279658:5253 | 08/27/16 01:35:19 | 712  | 712  | 97709873.987   | 95005604.413  |
| 279667:5254 | 08/27/16 09:08:23 | 966  | 966  | 217997723.608  | 210827384.430 |
| 279681:5256 | 08/27/16 21:57:02 | 28   | 28   | 7306308.861    | 6716358.529   |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 8662312.227    | 7832706.828   |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 6753289.604    | 6410666.607   |
| 279684:5256 | 08/27/16 22:46:58 | 22   | 22   | 5592704.703    | 5345377.864   |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 50467023.942   | 48847936.424  |
| 279691:5257 | 08/28/16 03:41:26 | 43   | 43   | 10322367.747   | 9728054.456   |
| 279694:5257 | 08/28/16 04:03:09 | 2235 | 2235 | 418135305.542  | 406149526.386 |
| 279715:5258 | 08/28/16 22:01:34 | 577  | 577  | 135677485.686  | 130204291.209 |
| 279716:5258 | 08/29/16 02:17:06 | 1638 | 1638 | 269173420.155  | 262229007.285 |
| 279760:5261 | 08/29/16 20:21:24 | 655  | 655  | 161477954.608  | 156254632.118 |
| 279766:5261 | 08/30/16 01:08:36 | 1689 | 1689 | 282978344.416  | 274840679.984 |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 94447451.297   | 92354541.644  |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 234466153.255  | 227433906.066 |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 85836976.653   | 83241682.415  |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 390773113.281  | 378512876.514 |
| 279844:5267 | 09/01/16 07:21:16 | 224  | 224  | 60182485.494   | 57514298.560  |
